text,category,location_label,location_mention,source,severity,sentiment
Please check: Loudspeaker noise disturbing residents in Sayajigunj. Very dangerous situation.,other,Sayajigunj,Sayajigunj,Social Media,Low,Negative
Alert: No electricity in Gotri for 4 hours. Authorities please take note.,electricity,Gotri,Gotri,Social Media,Medium,Negative
Drainage overflow causing water to unexpected levels in Uma Char Rasta.,flooding,Waghodia Road,Uma Char Rasta,Official App,High,Negative
Action required: Bahut traffic hai Ajwa Road par. Authorities please take note.,traffic,Ajwa Road,Ajwa Road,WhatsApp,Medium,Negative
Very unhygienic conditions in Manjalpur Naka vegetable market. It's been a week.,garbage,Manjalpur,Manjalpur Naka,Social Media,Medium,Negative
Complaint: Kachra pada hai Manjalpur Naka road pe. Very dangerous situation.,garbage,Manjalpur,Manjalpur Naka,Social Media,High,Negative
"Alert: Knee deep water in GIDC Manjalpur, please help. Authorities please take note.",flooding,Manjalpur,GIDC Manjalpur,Social Media,High,Negative
Accident prone zone near Sardar Estate school needs speed breaker.,accident,Ajwa Road,Sardar Estate,Official App,High,Negative
Dead animal near Kala Ghoda needs removal.,garbage,Kala Ghoda,Kala Ghoda,Official App,High,Negative
Please check: Cleaning not done in Novino Battery society. Please resolve asap.,garbage,Makarpura,Novino Battery,Social Media,Medium,Negative
Complaint: Pedestrian hit by a speeding car in Manjalpur. Please resolve asap.,accident,Manjalpur,Manjalpur,WhatsApp,High,Negative
Alert: Drainage overflow causing water to unexpected levels in Kala Ghoda Circle.,flooding,Kala Ghoda,Kala Ghoda Circle,WhatsApp,High,Negative
Drainage overflow causing water to unexpected levels in High Tension Road. It's been a week.,flooding,Subhanpura,High Tension Road,WhatsApp,High,Negative
Alert: Sursagar Lake is completely dark at night. VMC please help.,electricity,Nyay Mandir,Sursagar Lake,Social Media,High,Negative
Please check: Sweepers not coming to Vrindavan Char Rasta regularly.,garbage,Waghodia Road,Vrindavan Char Rasta,Social Media,Low,Negative
Too many stray dogs in Eva Mall attacking people.,other,Manjalpur,Eva Mall,News Headline,Medium,Negative
Report: Terrible accident on Nyay Mandir main road. Please resolve asap.,accident,Nyay Mandir,Nyay Mandir,WhatsApp,High,Negative
Complaint: Cleaning not done in Kothi Kacheri society. Very dangerous situation.,garbage,Raopura,Kothi Kacheri,Social Media,High,Negative
Report: Illegal encroachment on footpath in Sama Pond. It is very annoying.,other,Sama,Sama Pond,Social Media,Medium,Negative
Help needed: Heavy traffic congestion in Mandvi Gate during peak hours. Very dangerous situation.,traffic,Mandvi,Mandvi Gate,WhatsApp,High,Negative
Please check: Low pressure water in Karelibaug.,water,Karelibaug,Karelibaug,Social Media,Medium,Negative
Loudspeaker noise disturbing residents in Dairy Den Circle.,other,Sayajigunj,Dairy Den Circle,Official App,Low,Negative
No water supply in Vasna Bhayli Road since morning.,water,Vasna Road,Vasna Bhayli Road,Official App,High,Negative
Action required: Frequent power cuts in Motnath Mahadev since yesterday. Very dangerous situation.,electricity,Harni,Motnath Mahadev,Social Media,High,Negative
Alert: Bohat garmi hai Akota me aaj. Please resolve asap.,weather,Akota,Akota,WhatsApp,Medium,Negative
"Please check: Car collision at Kala Ghoda Circle, ambulance needed. #Vadodara #VMC",accident,Kala Ghoda,Kala Ghoda Circle,WhatsApp,High,Negative
Complaint: Dustbins are overflowing at Madhuban Circle. Authorities please take note.,garbage,Gorwa,Madhuban Circle,Social Media,High,Negative
Garbage not collected in Waghodia Road for 3 days.,garbage,Waghodia Road,Waghodia Road,Official App,Medium,Negative
Please check: Barish ka paani Nandesari GIDC me bhar gaya hai.,flooding,Nandesari,Nandesari GIDC,WhatsApp,High,Negative
Complaint: Bahut traffic hai Harni Warasia Ring Road par. Very dangerous situation.,traffic,Harni,Harni Warasia Ring Road,WhatsApp,High,Negative
Loudspeaker noise disturbing residents in Subhanpura.,other,Subhanpura,Subhanpura,Official App,Low,Negative
Huge traffic jam at Sayajigunj.,traffic,Sayajigunj,Sayajigunj,Official App,Medium,Negative
Water pipeline leakage near Concorde Building.,water,Alkapuri,Concorde Building,News Headline,Medium,Negative
Action required: Kachra pada hai Sama road pe.,garbage,Sama,Sama,WhatsApp,Medium,Negative
Alert: Blinkering street lights at Mandvi crossroad.,electricity,Mandvi,Mandvi,WhatsApp,Medium,Negative
Action required: Unseasonal rain in Bright School. It's been a week.,weather,Karelibaug,Bright School,Social Media,Low,Neutral
Urgent: No electricity in Gorwa for 4 hours. Authorities please take note.,electricity,Gorwa,Gorwa,Social Media,High,Negative
Frequent power cuts in Mujmahuda since yesterday.,electricity,Akota,Mujmahuda,Official App,Medium,Negative
Alert: Contaminated water supply in Nyay Mandir. Very dangerous situation.,water,Nyay Mandir,Nyay Mandir,Social Media,High,Negative
Urgent: Huge traffic jam at Kala Ghoda. It's been a week.,traffic,Kala Ghoda,Kala Ghoda,Social Media,High,Negative
Blinkering street lights at RC Dutt Road crossroad.,electricity,Alkapuri,RC Dutt Road,News Headline,Medium,Negative
Action required: Illegal encroachment on footpath in Subhanpura. It is very annoying.,other,Subhanpura,Subhanpura,Social Media,Medium,Negative
Cars parked illegally on Chemical Zone road causing jam.,traffic,Nandesari,Chemical Zone,Official App,Medium,Negative
Please check: Drinking water smells bad in Sarabhai Compound. Very dangerous situation.,water,Kala Ghoda,Sarabhai Compound,WhatsApp,High,Negative
Bahut traffic hai Akota Stadium par.,traffic,Akota,Akota Stadium,Official App,Medium,Negative
Dead animal near Saffron Tower needs removal.,garbage,Fatehgunj,Saffron Tower,Official App,High,Negative
Action required: Foul smell coming from garbage dump in Jubilee Baug. #Vadodara #VMC,garbage,Raopura,Jubilee Baug,WhatsApp,Medium,Negative
Terrible accident on Harni Airport main road.,accident,Harni,Harni Airport,News Headline,High,Negative
Sweepers not coming to Railway Station regularly.,garbage,Sayajigunj,Railway Station,Official App,Low,Negative
Please check: Water is not draining in Mental Hospital. Very dangerous situation.,flooding,Karelibaug,Mental Hospital,Social Media,High,Negative
Water is not draining in Novino Battery.,flooding,Makarpura,Novino Battery,Official App,High,Negative
"Complaint: Car collision at Susen Circle, ambulance needed. VMC please help.",accident,Tarsali,Susen Circle,Social Media,High,Negative
"Help needed: Car collision at Jubilee Baug, ambulance needed. It's been a week.",accident,Raopura,Jubilee Baug,WhatsApp,High,Negative
Cows sitting in the middle of Raopura Tower road.,other,Raopura,Raopura Tower,Official App,Medium,Negative
Bus hit a divider in Tarsali Bypass.,accident,Tarsali,Tarsali Bypass,News Headline,High,Negative
Report: Drainage overflow causing water to unexpected levels in GIDC Manjalpur. Calling municipal corporation.,flooding,Manjalpur,GIDC Manjalpur,WhatsApp,High,Negative
Action required: Garbage not collected in RC Dutt Road for 3 days. It is very annoying.,garbage,Alkapuri,RC Dutt Road,Social Media,Medium,Negative
Kachra pada hai Central Library road pe.,garbage,Mandvi,Central Library,Official App,Medium,Negative
Wrong side driving is rampant in Railway Station. Very dangerous situation.,traffic,Sayajigunj,Railway Station,WhatsApp,High,Negative
Garbage not collected in D-Mart Waghodia for 3 days.,garbage,Waghodia Road,D-Mart Waghodia,Official App,Medium,Negative
Bike slipped due to oil spill near Circuit House.,accident,Alkapuri,Circuit House,Official App,High,Negative
Street lights not working in Cow Circle.,electricity,Akota,Cow Circle,News Headline,Medium,Negative
Report: Garbage not collected in Jubilee Baug for 3 days. It's been a week.,garbage,Raopura,Jubilee Baug,WhatsApp,Medium,Negative
Foul smell coming from garbage dump in Ajwa Chokdi.,garbage,Ajwa Road,Ajwa Chokdi,News Headline,Medium,Negative
ONGC Main Gate is completely submerged.,flooding,Tarsali,ONGC Main Gate,News Headline,High,Negative
Please check: Accident prone zone near Makarpura school needs speed breaker. Authorities please take note.,accident,Makarpura,Makarpura,Social Media,High,Negative
Alert: Bus hit a divider in Gotri. It's been a week.,accident,Gotri,Gotri,WhatsApp,High,Negative
Kothi Kacheri is completely submerged. #Vadodara #VMC,flooding,Raopura,Kothi Kacheri,Social Media,High,Negative
Stray cattle blocking traffic at Narhari Hospital. Authorities please take note.,other,Fatehgunj,Narhari Hospital,WhatsApp,Medium,Negative
Please check: Bike slipped due to oil spill near Champaner Gate. Calling municipal corporation.,accident,Mandvi,Champaner Gate,Social Media,High,Negative
Sayajipura is completely submerged.,flooding,Ajwa Road,Sayajipura,News Headline,High,Negative
Complaint: Accident prone zone near Raopura school needs speed breaker. Calling municipal corporation.,accident,Raopura,Raopura,WhatsApp,High,Negative
Garden maintenance needed in Iskcon Temple. Very dangerous situation.,other,Gotri,Iskcon Temple,Social Media,Low,Negative
Contaminated water supply in Jubilee Baug. Authorities please take note.,water,Raopura,Jubilee Baug,WhatsApp,High,Negative
Accident prone zone near Raopura school needs speed breaker.,accident,Raopura,Raopura,Official App,High,Negative
Heavy rain predicted for Abhilasha Char Rasta this evening.,weather,Sama,Abhilasha Char Rasta,Official App,Low,Neutral
Complaint: Unknown person loitering suspiciously in Sarabhai Compound. Calling municipal corporation.,other,Kala Ghoda,Sarabhai Compound,WhatsApp,Low,Negative
Bus hit a divider in Akota Bridge.,accident,Akota,Akota Bridge,Official App,High,Negative
Please check: Water is not draining in Sursagar Lake. It is very annoying.,flooding,Nyay Mandir,Sursagar Lake,Social Media,High,Negative
Loudspeaker noise disturbing residents in Fatehgunj.,other,Fatehgunj,Fatehgunj,News Headline,Low,Negative
Action required: Dustbins are overflowing at Novino Battery.,garbage,Makarpura,Novino Battery,Social Media,High,Negative
Report: Dustbins are overflowing at Jubilee Baug. Very dangerous situation.,garbage,Raopura,Jubilee Baug,Social Media,High,Negative
Urgent: Bohat garmi hai Subhanpura Wadi me aaj. It is very annoying.,weather,Subhanpura,Subhanpura Wadi,WhatsApp,Low,Neutral
Report: Loudspeaker noise disturbing residents in Parshuram Bhattha. Authorities please take note.,other,Sayajigunj,Parshuram Bhattha,WhatsApp,Low,Negative
Action required: Electric pole looking dangerous in Sursagar Lake. Very dangerous situation.,electricity,Nyay Mandir,Sursagar Lake,WhatsApp,High,Negative
Action required: Terrible accident on Subhanpura main road. It is very annoying.,accident,Subhanpura,Subhanpura,WhatsApp,High,Negative
"Car collision at Madhuban Circle, ambulance needed.",accident,Gorwa,Madhuban Circle,News Headline,High,Negative
Unseasonal rain in ONGC Main Gate.,weather,Tarsali,ONGC Main Gate,Official App,Low,Neutral
Alert: Barish ka paani Nyay Mandir me bhar gaya hai. Very dangerous situation.,flooding,Nyay Mandir,Nyay Mandir,WhatsApp,High,Negative
Strong winds blowing in Bright School Vasna.,weather,Vasna Road,Bright School Vasna,Official App,Low,Neutral
Urgent: Tree fallen on road in Chemical Zone. Very dangerous situation.,other,Nandesari,Chemical Zone,Social Media,High,Negative
Urgent: Subhanpura Wadi is completely dark at night. Authorities please take note.,electricity,Subhanpura,Subhanpura Wadi,Social Media,High,Negative
Please check: Contaminated water supply in Raopura.,water,Raopura,Raopura,WhatsApp,High,Negative
Help needed: Water logging issue at Subhanpura Wadi. Calling municipal corporation.,flooding,Subhanpura,Subhanpura Wadi,WhatsApp,High,Negative
It's extremely hot in Ajwa Chokdi today.,weather,Ajwa Road,Ajwa Chokdi,Official App,Low,Neutral
Sweepers not coming to Parivar Char Rasta regularly.,garbage,Waghodia Road,Parivar Char Rasta,Official App,Low,Negative
"Heatwave alert for Iskcon Temple, stay indoors.",weather,Gotri,Iskcon Temple,Official App,Medium,Negative
Complaint: Heavy rain predicted for Harinagar this evening. Please resolve asap.,weather,Gotri,Harinagar,Social Media,Low,Neutral
Complaint: Dustbins are overflowing at Eva Mall. Very dangerous situation.,garbage,Manjalpur,Eva Mall,WhatsApp,High,Negative
Loudspeaker noise disturbing residents in Concorde Building. #Vadodara #VMC,other,Alkapuri,Concorde Building,WhatsApp,Low,Negative
Alert: Bahut traffic hai Manjalpur par. Very dangerous situation.,traffic,Manjalpur,Manjalpur,Social Media,High,Negative
Action required: Ganda paani aa raha hai Tarsali me. Calling municipal corporation.,water,Tarsali,Tarsali,Social Media,Medium,Negative
Action required: Drinking water smells bad in Akota Stadium. VMC please help.,water,Akota,Akota Stadium,Social Media,Medium,Negative
Garden maintenance needed in Samta.,other,Subhanpura,Samta,Official App,Low,Negative
Urgent: Stray animal menace in Akota Stadium. It is very annoying.,other,Akota,Akota Stadium,Social Media,High,Negative
Strong winds blowing in Gotri Hospital.,weather,Gotri,Gotri Hospital,Official App,Low,Neutral
Please check: Sweepers not coming to Air Force Station regularly. Very dangerous situation.,garbage,Makarpura,Air Force Station,Social Media,Low,Negative
Heavy rain caused flooding near Sardar Estate.,flooding,Ajwa Road,Sardar Estate,News Headline,High,Negative
Urgent: Frequent power cuts in Kala Ghoda Circle since yesterday. VMC please help.,electricity,Kala Ghoda,Kala Ghoda Circle,Social Media,High,Negative
Action required: Pedestrian hit by a speeding car in Kala Ghoda Circle. #Vadodara #VMC,accident,Kala Ghoda,Kala Ghoda Circle,Social Media,High,Negative
Cars parked illegally on Kala Ghoda Circle road causing jam.,traffic,Kala Ghoda,Kala Ghoda Circle,Official App,Medium,Negative
Alert: Dead animal near Chemical Zone needs removal. Very dangerous situation.,garbage,Nandesari,Chemical Zone,Social Media,High,Negative
Water is not draining in Champaner Gate.,flooding,Mandvi,Champaner Gate,Official App,High,Negative
Alert: Drainage overflow causing water to unexpected levels in Harni Airport. VMC please help.,flooding,Harni,Harni Airport,Social Media,High,Negative
It's extremely hot in Harinagar today.,weather,Gotri,Harinagar,Official App,Low,Neutral
"Heatwave alert for Sama, stay indoors. Authorities please take note.",weather,Sama,Sama,Social Media,Medium,Negative
Garbage not collected in RC Dutt Road for 3 days. Authorities please take note.,garbage,Alkapuri,RC Dutt Road,Social Media,Medium,Negative
Please check: Cleaning not done in Nandesari society. It's been a week.,garbage,Nandesari,Nandesari,Social Media,Medium,Negative
Please check: Wrong side driving is rampant in Manjalpur Naka. Calling municipal corporation.,traffic,Manjalpur,Manjalpur Naka,WhatsApp,Medium,Negative
Loudspeaker noise disturbing residents in GIDC Manjalpur.,other,Manjalpur,GIDC Manjalpur,News Headline,Low,Negative
Urgent: Stray animal menace in Akota. It's been a week.,other,Akota,Akota,Social Media,High,Negative
Bohat garmi hai Saffron Tower me aaj.,weather,Fatehgunj,Saffron Tower,News Headline,Low,Neutral
Street lights not working in Vasna Bhayli Road.,electricity,Vasna Road,Vasna Bhayli Road,News Headline,Medium,Negative
Report: Garbage not collected in Vasna Bhayli Road for 3 days. Very dangerous situation.,garbage,Vasna Road,Vasna Bhayli Road,Social Media,High,Negative
Cleaning not done in Mujmahuda society. It is very annoying.,garbage,Akota,Mujmahuda,WhatsApp,Medium,Negative
Wrong side driving is rampant in High Tension Road.,traffic,Subhanpura,High Tension Road,Official App,Medium,Negative
Action required: Sweepers not coming to Ajwa Road regularly. VMC please help.,garbage,Ajwa Road,Ajwa Road,WhatsApp,Low,Negative
Accident ho gaya hai Karelibaug me.,accident,Karelibaug,Karelibaug,Official App,High,Negative
Accident ho gaya hai Sayajipura me.,accident,Ajwa Road,Sayajipura,News Headline,High,Negative
Urgent: Bus hit a divider in Subhanpura. It's been a week.,accident,Subhanpura,Subhanpura,WhatsApp,High,Negative
Complaint: Frequent power cuts in Muktanand Three Roads since yesterday. VMC please help.,electricity,Karelibaug,Muktanand Three Roads,Social Media,Medium,Negative
Alert: Bus hit a divider in Mujmahuda.,accident,Akota,Mujmahuda,Social Media,High,Negative
Complaint: Dustbins are overflowing at Akota. #Vadodara #VMC,garbage,Akota,Akota,Social Media,High,Negative
"Please check: Car collision at Akota Stadium, ambulance needed. Authorities please take note.",accident,Akota,Akota Stadium,WhatsApp,High,Negative
Action required: Dead animal near Manjalpur needs removal. #Vadodara #VMC,garbage,Manjalpur,Manjalpur,WhatsApp,High,Negative
Please check: Stray animal menace in Akota Stadium. Calling municipal corporation.,other,Akota,Akota Stadium,WhatsApp,Medium,Negative
Complaint: Frequent power cuts in Madhuban Circle since yesterday. VMC please help.,electricity,Gorwa,Madhuban Circle,WhatsApp,Medium,Negative
Bahut traffic hai Motnath Mahadev par.,traffic,Harni,Motnath Mahadev,News Headline,Medium,Negative
Report: Garbage not collected in RC Dutt Road for 3 days. Very dangerous situation.,garbage,Alkapuri,RC Dutt Road,Social Media,High,Negative
Vasna Bhayli Road is completely dark at night. VMC please help.,electricity,Vasna Road,Vasna Bhayli Road,Social Media,High,Negative
Help needed: Traffic signal not working at Susen Circle crossroads. Authorities please take note.,traffic,Tarsali,Susen Circle,Social Media,Medium,Negative
Help needed: Wrong side driving is rampant in Susen Circle. Authorities please take note.,traffic,Tarsali,Susen Circle,Social Media,Medium,Negative
Action required: Tree fallen on road in Raopura Tower.,other,Raopura,Raopura Tower,Social Media,Medium,Negative
Urgent: MS University Hostel is completely dark at night. #Vadodara #VMC,electricity,Fatehgunj,MS University Hostel,WhatsApp,High,Negative
"Help needed: Heatwave alert for Kala Ghoda, stay indoors. It is very annoying.",weather,Kala Ghoda,Kala Ghoda,Social Media,Medium,Negative
Action required: Accident ho gaya hai Abhilasha Char Rasta me. VMC please help.,accident,Sama,Abhilasha Char Rasta,WhatsApp,High,Negative
Terrible accident on Kala Ghoda Circle main road.,accident,Kala Ghoda,Kala Ghoda Circle,News Headline,High,Negative
Alert: Ganda paani aa raha hai RC Dutt Road me. Authorities please take note.,water,Alkapuri,RC Dutt Road,Social Media,Medium,Negative
Help needed: Loudspeaker noise disturbing residents in Parivar Char Rasta. Calling municipal corporation.,other,Waghodia Road,Parivar Char Rasta,WhatsApp,Low,Negative
Please check: Stray animal menace in Ajwa Chokdi. Please resolve asap.,other,Ajwa Road,Ajwa Chokdi,Social Media,Medium,Negative
No water supply in Iskcon Temple since morning. It's been a week.,water,Gotri,Iskcon Temple,Social Media,High,Negative
Help needed: Stray cattle blocking traffic at Nyay Mandir. Authorities please take note.,other,Nyay Mandir,Nyay Mandir,WhatsApp,Medium,Negative
Stray animal menace in Rajmahal Road.,other,Nyay Mandir,Rajmahal Road,Official App,Medium,Negative
Alert: Frequent power cuts in Railway Station since yesterday. It is very annoying.,electricity,Sayajigunj,Railway Station,Social Media,Medium,Negative
"Report: Heatwave alert for RC Dutt Road, stay indoors. It's been a week.",weather,Alkapuri,RC Dutt Road,WhatsApp,Medium,Negative
Alert: Garbage not collected in Kala Ghoda Circle for 3 days. It is very annoying.,garbage,Kala Ghoda,Kala Ghoda Circle,WhatsApp,Medium,Negative
"Andhera hai High Tension Road me, lights fix karo.",electricity,Subhanpura,High Tension Road,Official App,Medium,Negative
Cleaning not done in Parivar Char Rasta society. It's been a week.,garbage,Waghodia Road,Parivar Char Rasta,Social Media,Medium,Negative
Urgent: Stray cattle blocking traffic at Windsor Plaza. #Vadodara #VMC,other,Alkapuri,Windsor Plaza,WhatsApp,High,Negative
Heavy traffic congestion in Akota Bridge during peak hours.,traffic,Akota,Akota Bridge,News Headline,Medium,Negative
Report: Water pipeline leakage near Motnath Mahadev. Calling municipal corporation.,water,Harni,Motnath Mahadev,WhatsApp,Medium,Negative
Complaint: Heavy traffic congestion in Sarabhai Compound during peak hours. Please resolve asap.,traffic,Kala Ghoda,Sarabhai Compound,WhatsApp,Medium,Negative
Illegal encroachment on footpath in Eva Mall.,other,Manjalpur,Eva Mall,Official App,Medium,Negative
Water pipeline leakage near Harni. VMC please help.,water,Harni,Harni,Social Media,Medium,Negative
Nyay Mandir is completely dark at night.,electricity,Nyay Mandir,Nyay Mandir,Official App,High,Negative
"Report: Knee deep water in RC Dutt Road, please help. Please resolve asap.",flooding,Alkapuri,RC Dutt Road,Social Media,High,Negative
Please check: Need a traffic policeman at Alkapuri junction. Very dangerous situation.,traffic,Alkapuri,Alkapuri,WhatsApp,High,Negative
Please check: Dustbins are overflowing at Motnath Mahadev. Very dangerous situation.,garbage,Harni,Motnath Mahadev,Social Media,High,Negative
"Action required: Heatwave alert for Vrindavan Char Rasta, stay indoors.",weather,Waghodia Road,Vrindavan Char Rasta,Social Media,Medium,Negative
Please check: Water logging issue at Railway Station. It is very annoying.,flooding,Sayajigunj,Railway Station,Social Media,High,Negative
Accident prone zone near Subhanpura Wadi school needs speed breaker.,accident,Subhanpura,Subhanpura Wadi,News Headline,High,Negative
Action required: Terrible accident on Sarabhai Compound main road. VMC please help.,accident,Kala Ghoda,Sarabhai Compound,Social Media,High,Negative
Ganda paani aa raha hai GIDC Manjalpur me. It's been a week.,water,Manjalpur,GIDC Manjalpur,WhatsApp,Medium,Negative
Complaint: Parshuram Bhattha is completely submerged. It is very annoying.,flooding,Sayajigunj,Parshuram Bhattha,Social Media,High,Negative
Garden maintenance needed in Industrial Area. It's been a week.,other,Nandesari,Industrial Area,Social Media,Low,Negative
Report: Pile of trash blocking the footpath in Fatehgunj. VMC please help.,garbage,Fatehgunj,Fatehgunj,Social Media,Medium,Negative
Cars parked illegally on Susen Tarsali Ring Road road causing jam.,traffic,Makarpura,Susen Tarsali Ring Road,News Headline,Medium,Negative
Please check: Loudspeaker noise disturbing residents in Makarpura. Authorities please take note.,other,Makarpura,Makarpura,WhatsApp,Low,Negative
Need a traffic policeman at Shreyas School junction.,traffic,Manjalpur,Shreyas School,News Headline,Medium,Negative
Mandvi Gate is completely submerged.,flooding,Mandvi,Mandvi Gate,News Headline,High,Negative
Please check: Garden maintenance needed in Mental Hospital. It is very annoying.,other,Karelibaug,Mental Hospital,WhatsApp,Low,Negative
Urgent: Bike slipped due to oil spill near Circuit House.,accident,Alkapuri,Circuit House,WhatsApp,High,Negative
Urgent: Water pipeline leakage near Fatehgunj. Authorities please take note.,water,Fatehgunj,Fatehgunj,WhatsApp,High,Negative
Thunderstorm expected in Abhilasha Char Rasta.,weather,Sama,Abhilasha Char Rasta,News Headline,Low,Neutral
Alert: Tree fallen on road in Saffron Tower. Very dangerous situation.,other,Fatehgunj,Saffron Tower,Social Media,High,Negative
Complaint: No electricity in Nandesari for 4 hours. Please resolve asap.,electricity,Nandesari,Nandesari,WhatsApp,Medium,Negative
Help needed: Water pipeline leakage near Fatehgunj Circle. It is very annoying.,water,Fatehgunj,Fatehgunj Circle,WhatsApp,Medium,Negative
Water pipeline leakage near Sama Pond.,water,Sama,Sama Pond,Official App,Medium,Negative
Report: Sweepers not coming to Nyay Mandir regularly. Please resolve asap.,garbage,Nyay Mandir,Nyay Mandir,WhatsApp,Low,Negative
Report: Stray animal menace in Railway Station. Very dangerous situation.,other,Sayajigunj,Railway Station,Social Media,High,Negative
Alert: Terrible accident on Bright School Vasna main road. Calling municipal corporation.,accident,Vasna Road,Bright School Vasna,Social Media,High,Negative
Complaint: Bahut traffic hai Muktanand Three Roads par. Please resolve asap.,traffic,Karelibaug,Muktanand Three Roads,Social Media,Medium,Negative
Urgent: Kachra pada hai Tandalja Road road pe. It's been a week.,garbage,Vasna Road,Tandalja Road,Social Media,High,Negative
Please check: Water logging issue at Motnath Mahadev.,flooding,Harni,Motnath Mahadev,WhatsApp,High,Negative
Bohat garmi hai Samta me aaj.,weather,Subhanpura,Samta,Official App,Low,Neutral
Complaint: Cleaning not done in GIDC Manjalpur society.,garbage,Manjalpur,GIDC Manjalpur,WhatsApp,Medium,Negative
Bohat garmi hai Alkapuri Club me aaj.,weather,Alkapuri,Alkapuri Club,Official App,Low,Neutral
Report: Cleaning not done in MS University Hostel society. Please resolve asap.,garbage,Fatehgunj,MS University Hostel,Social Media,Medium,Negative
Bus hit a divider in GMERS.,accident,Gotri,GMERS,Official App,High,Negative
Help needed: Water is not draining in Leprosy Ground. VMC please help.,flooding,Ajwa Road,Leprosy Ground,WhatsApp,High,Negative
Please check: Drinking water smells bad in Harni Airport. Please resolve asap.,water,Harni,Harni Airport,WhatsApp,Medium,Negative
Urgent: Terrible accident on Waghodia Road main road. It is very annoying.,accident,Waghodia Road,Waghodia Road,WhatsApp,High,Negative
Please check: Illegal encroachment on footpath in Waghodia Road. #Vadodara #VMC,other,Waghodia Road,Waghodia Road,WhatsApp,Medium,Negative
Alert: Too many stray dogs in Ajwa Road attacking people. It's been a week.,other,Ajwa Road,Ajwa Road,Social Media,Medium,Negative
Action required: Cars parked illegally on Manjalpur Naka road causing jam. It's been a week.,traffic,Manjalpur,Manjalpur Naka,WhatsApp,Medium,Negative
Raopura is completely submerged.,flooding,Raopura,Raopura,News Headline,High,Negative
Report: Bus hit a divider in Alkapuri. It is very annoying.,accident,Alkapuri,Alkapuri,WhatsApp,High,Negative
Help needed: Street lights not working in Parivar Char Rasta. #Vadodara #VMC,electricity,Waghodia Road,Parivar Char Rasta,Social Media,Medium,Negative
"Urgent: Car collision at Madhuban Circle, ambulance needed. Please resolve asap.",accident,Gorwa,Madhuban Circle,Social Media,High,Negative
Action required: Drinking water smells bad in Champaner Gate. It's been a week.,water,Mandvi,Champaner Gate,Social Media,Medium,Negative
Please check: Stray cattle blocking traffic at Akota Bridge. #Vadodara #VMC,other,Akota,Akota Bridge,Social Media,Medium,Negative
"Andhera hai Tarsali Bypass me, lights fix karo.",electricity,Tarsali,Tarsali Bypass,Official App,Medium,Negative
Electric pole looking dangerous in Manjalpur Naka.,electricity,Manjalpur,Manjalpur Naka,News Headline,High,Negative
Report: Pile of trash blocking the footpath in Tarsali. Calling municipal corporation.,garbage,Tarsali,Tarsali,Social Media,Medium,Negative
Report: Loudspeaker noise disturbing residents in Sayajigunj.,other,Sayajigunj,Sayajigunj,WhatsApp,Low,Negative
"Action required: Car collision at Harni Warasia Ring Road, ambulance needed. Very dangerous situation.",accident,Harni,Harni Warasia Ring Road,Social Media,High,Negative
Help needed: Wrong side driving is rampant in Harni Airport. It is very annoying.,traffic,Harni,Harni Airport,WhatsApp,Medium,Negative
Please check: Contaminated water supply in Susen Tarsali Ring Road. #Vadodara #VMC,water,Makarpura,Susen Tarsali Ring Road,Social Media,High,Negative
Action required: Barish ka paani Novino Battery me bhar gaya hai. Please resolve asap.,flooding,Makarpura,Novino Battery,WhatsApp,High,Negative
Cleaning not done in D-Mart Waghodia society.,garbage,Waghodia Road,D-Mart Waghodia,Official App,Medium,Negative
Help needed: Bus hit a divider in Circuit House. It is very annoying.,accident,Alkapuri,Circuit House,WhatsApp,High,Negative
Accident prone zone near Khanderao Market school needs speed breaker.,accident,Nyay Mandir,Khanderao Market,News Headline,High,Negative
Help needed: Tree fallen on road in High Tension Road. Authorities please take note.,other,Subhanpura,High Tension Road,Social Media,Medium,Negative
Report: Drainage overflow causing water to unexpected levels in Narhari Hospital. #Vadodara #VMC,flooding,Fatehgunj,Narhari Hospital,Social Media,High,Negative
Complaint: Garbage not collected in Cow Circle for 3 days. Please resolve asap.,garbage,Akota,Cow Circle,WhatsApp,Medium,Negative
Complaint: Accident prone zone near Nandesari school needs speed breaker. Authorities please take note.,accident,Nandesari,Nandesari,Social Media,High,Negative
Cows sitting in the middle of Jubilee Baug road. Calling municipal corporation.,other,Raopura,Jubilee Baug,WhatsApp,Medium,Negative
Help needed: Huge traffic jam at Leprosy Ground. Very dangerous situation.,traffic,Ajwa Road,Leprosy Ground,WhatsApp,High,Negative
Please check: Barish ka paani Kala Ghoda me bhar gaya hai. #Vadodara #VMC,flooding,Kala Ghoda,Kala Ghoda,Social Media,High,Negative
Loudspeaker noise disturbing residents in GMERS.,other,Gotri,GMERS,Official App,Low,Negative
Foul smell coming from garbage dump in Cow Circle.,garbage,Akota,Cow Circle,News Headline,Medium,Negative
Urgent: Bahut traffic hai Ajwa Road par. #Vadodara #VMC,traffic,Ajwa Road,Ajwa Road,Social Media,High,Negative
Terrible accident on Parshuram Bhattha main road.,accident,Sayajigunj,Parshuram Bhattha,Social Media,High,Negative
Alert: Cleaning not done in Eva Mall society. It is very annoying.,garbage,Manjalpur,Eva Mall,WhatsApp,Medium,Negative
"Andhera hai Mandvi me, lights fix karo.",electricity,Mandvi,Mandvi,Official App,Medium,Negative
